Nombre del artista,Título de la canción,Número de canción,Título del álbum,Fecha de lanzamiento,Nombre del compositor,Nombre del productor musical,Código ISRC,Sello discográfico,Compañía editorial,Entidad de gestión de derechos,Género/s musical/es,Número de reproducciones,Top 5,Contacto (campo comentarios)
Jordan Cortez,His others.,9,Officer hotel.,2008-01-15,Cristian Neal,Jessica Hubbard,978-0-11-497468-8,Warner Music Group,Kobalt Music Group,ASCAP,Salsa,687945,False,derrickdrake@example.net
Stephen Medina,Pass moment three require.,9,Point from.,2002-08-30,Shelly Stevenson,Kimberly Morales,978-1-125-04287-8,Warner Music Group,Universal Music Publishing Group,BMI,Vallenato,549774,False,jose12@example.com
Angela Swanson,Reach one month.,7,Computer because.,2017-09-06,Tracy Castro,Thomas Macdonald,978-0-516-62354-2,Sony Music,Universal Music Publishing Group,BMI,Jazz,680361,False,qturner@example.com
Madison Miller,Ever work religious civil.,4,Ever spend book chance.,2007-10-15,Gary Smith,Stephanie Snow,978-1-01-786448-9,Sony Music,Universal Music Publishing Group,BMI,Reggae,986825,False,dwalsh@example.net
John Weaver,Anything sport yeah.,4,Allow campaign same young.,2022-04-08,Craig Myers,Rhonda Hays,978-0-08-729325-0,EMI,Kobalt Music Group,BMI,Electronic,534828,False,jerryallen@example.net
Jessica Campbell,Lose because itself.,5,Market rather.,2006-07-19,Ashley Barnes,Deborah Gaines,978-1-343-25686-6,Universal Music Group,Sony/ATV Music Publishing,ASCAP,Hip Hop,589025,False,joshua65@example.net
Candice Jones,Want today.,6,Appear camera learn woman.,2004-03-02,Joseph Mendoza,William Perez,978-0-08-939692-8,Universal Music Group,Universal Music Publishing Group,ASCAP,Reggeton,374222,False,alexandertimothy@example.org
Matthew Boone,Particularly admit address.,9,Window throw international.,2018-02-04,Nicholas Lewis,Matthew Walker,978-0-15-532499-2,EMI,Kobalt Music Group,SESAC,Vallenato,959407,False,hchambers@example.org
Anita Young,Yeah race recently.,3,Machine next.,2012-05-15,Patricia Smith,Nancy Alexander,978-0-221-19283-8,Sony Music,Kobalt Music Group,ASCAP,Pop,460416,False,aperkins@example.com
Ryan Murray,Bed cost compare him build.,10,Hit the national.,2024-02-22,Deborah Smith,Nancy Norris,978-1-134-44896-8,Sony Music,Warner/Chappell Music,SESAC,Country,777471,False,kathyhernandez@example.com
Justin Russell,Really behavior run parent us.,9,Dark pressure.,2014-06-02,Julia George,Andrew Vaughn,978-1-313-57844-8,Warner Music Group,Kobalt Music Group,ASCAP,Merengue,639531,False,sherridavies@example.net
Sarah Hines DDS,Of fight tough choose.,10,Know goal.,2000-05-23,Carla Macias,Dennis Drake,978-0-8090-0648-9,Sony Music,Universal Music Publishing Group,BMI,Classical,614871,False,guerreroariel@example.net
Kayla Walker,Everybody wrong society.,12,Couple black at.,2009-04-04,Matthew Garcia,Tammy Ashley,978-0-579-77824-1,EMI,Warner/Chappell Music,BMI,Reggeton,409706,False,williamsjacob@example.net
Thomas Sutton,Likely same treat.,7,Fact.,2004-11-05,Chad Dillon,Daniel Rose MD,978-1-4818-6195-3,EMI,Sony/ATV Music Publishing,SESAC,Merengue,518965,False,gmoreno@example.com
